 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label
443,1058886.8352276832,7,12,581.77860240228,6698.5692868583055,158.46225987630942,23.379890559146688,83.11122891461142,8.802199540972984,949.3186134655081,8.636674490503111,558.2141072381921,325.8338615415331,6875.473041172672,17.943371631317518,58827.046401537955,28004.453709823993,99825.85309458718,45.794478279269924,905866.9043154812,129409.55775935446,64704.77887967723,258819.11551870892,35.83043085353928,636771.2792193668,53064.27326828057,21225.70930731223,95515.69188290503,21.32359293462407,1,0.0,0.0,0.0,140,240,6.610715864169612,11.332655767147907,19.145326920709067,949.3186134655081,383.1762046979255,229.90572281875532,52856.64138481435,0,0.0,0,0,1.0,0.0,0.0,0.0,2.0,402.3350149328218,83.11122891461142,558.2141072381921,140,0.0,0.0,0.0,0.0,0.0,0.0,7,581.77860240228,12,6698.5692868583055,65535,65535,5,20,91128.92897513993,18225.785795027987,136693.3934627099,72903.14318011195,88785.02187895829,17757.004375791657,124299.03063054159,62149.51531527079,BENIGN
63328,87551.91472137083,1,0,0.0,0.0,0.0,4.674658693646261,0.0,0.0,0.0,12.032187580290595,0.0,0.0,0.0,11.421794750947997,87551.91472137083,43775.95736068542,218879.7868034271,0.9434606124992295,83174.31898530229,83174.31898530229,41587.159492651146,166348.63797060458,7.333346506991529,70041.53177709666,70041.53177709666,28016.612710838668,126074.757198774,2.125206952403623,0,0.0,0.0,0.0,20,0,11.421794750947997,0.0,6.776763804568374,0.0,0.0,0.0,0.0,0,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,2048,-1,0,20,45136.602363260296,6770.490354489044,58677.58307223838,31595.621654282204,497559.6406931018,74633.94610396527,646827.5329010324,348291.74848517124,PortScan
80,1577031.8170554382,8,1,594.2583851573711,522.2236969178037,158.66116047346839,37.65524999908117,74.28229814467139,40.16709010949837,993.7583913995912,57.56670949074036,522.2236969178037,348.5667959825472,707.9642084582789,5.706923539947589,197128.97713192977,93669.29213859321,691559.0039294838,88.94931736276551,1258257.2830124772,157282.16037655965,78641.08018827983,314564.3207531193,22.56443732324854,1194237.7962513673,1194237.7962513673,477695.11850054696,2149628.0332524613,14.420847112678736,0,0.0,0.0,0.0,160,20,5.072820924397857,0.6341026155497321,18.530271323221516,993.7583913995912,124.05356467501942,74.43213880501165,5540.143287088521,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,130.2562429087704,74.28229814467139,522.2236969178037,160,0.0,0.0,0.0,0.0,0.0,0.0,8,594.2583851573711,1,522.2236969178037,14600,8192,6,32,32426.339772138013,6485.267954427603,48639.50965820702,25941.071817710414,507277.66626202955,101455.53325240592,710188.7327668413,355094.36638342065,BENIGN
22,4018358.341047979,2,10,272.1230908575364,8283.24544155158,189.7185319591373,25.414470697135265,136.0615454287682,39.70830498306825,1556.2677244608915,14.588528982980558,828.324544155158,274.5239460166451,2129.0705821367574,2.9862941483885743,365305.30373163446,177498.58529607096,593594.4412906716,61.30828621164752,3568408.4344411856,1784204.2172205928,892102.1086102964,3568408.4344411856,26.156304936999685,2532542.167249484,253254.2167249484,101301.68668997937,455857.5901049071,25.728440722809633,0,0.0,0.0,0.0,40,200,0.49771569139809574,2.4885784569904787,18.82516685091661,1556.2677244608915,712.9473777007597,427.76842662045584,182985.8268133403,0,0.0,0,0,1.0,0.0,0.0,0.0,5.0,748.5947465857977,136.0615454287682,828.324544155158,40,0.0,0.0,0.0,0.0,0.0,0.0,2,272.1230908575364,10,8283.24544155158,14600,8192,0,20,10631.789713811742,2126.3579427623486,15947.684570717614,8505.431771049394,5328734.992423277,1065746.9984846555,7460228.989392588,3730114.494696294,BENIGN
4444,34843797.22045303,75,14,12336.974421323177,3386.9214297840253,296.08738611175625,6.354281931417467,164.49299228430903,65.79719691372361,435.46132668651757,3.203753008394803,241.92295927028752,96.76918370811501,451.2681482911799,2.5542566281426327,395952.2411415117,197976.12057075585,989880.6028537792,5.433681922219816,33101607.359430376,441354.764792405,220677.3823962025,882709.52958481,5.402975837393468,27875037.776362427,1991074.1268830304,796429.6507532122,3583933.4283894547,1.090776571249975,0,0.0,0.0,0.0,1500,280,2.152463450681994,0.4017931774606388,7.018908417617537,435.46132668651757,176.67298709109215,88.33649354554608,7803.336091922303,0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,185.50663644564676,164.49299228430903,241.92295927028752,1500,0.0,0.0,0.0,0.0,0.0,0.0,75,12336.974421323177,14,3386.9214297840253,8192,8192,73,20,110161.69898629628,16524.25484794444,143210.20868218516,77113.18929040739,559511.7665033143,83926.76497549714,727365.2964543086,391658.23655231996,Bot
443,4290045.628271213,6,3,353.8524167891414,1507.1694223475438,92.83862975130785,0.854442954046295,58.97540279819023,16.48247254450096,733.0698004133424,32.87619096970397,502.38980744918126,244.2216503643832,433.80001062754036,2.097879784935245,536255.7035339016,260857.85297244802,2129807.494620588,7.331506603932577,3889024.4187171943,648170.7364528658,324085.3682264329,1296341.4729057315,33.42916425385849,3082373.690111011,1027457.8967036703,410983.1586814681,1849424.2140666065,29.406180343842646,0,0.0,0.0,0.0,120,60,1.3985865232901633,0.6992932616450817,1.6731150562662012,733.0698004133424,206.78020434852058,124.06812260911235,15392.899047749735,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,217.11921456594663,58.97540279819023,502.38980744918126,120,0.0,0.0,0.0,0.0,0.0,0.0,6,353.8524167891414,3,1507.1694223475438,29200,14600,4,20,76081.61186080049,15216.322372160099,114122.41779120074,60865.289488640396,2232271.1189114847,446454.223782297,3125179.5664760782,1562589.7832380391,BENIGN
443,3000721.859677365,5,2,625.434783838857,1671.5048470250385,209.37027333698484,18.989504599492033,125.08695676777141,20.078358651833213,1016.1333842813935,16.153368923902352,835.7524235125193,561.2118421111946,765.4623581510018,2.3327720219802823,500120.3099462275,399577.45319111075,1037848.9196660428,30.726949194385185,2932222.9718203708,586444.5943640742,293222.2971820371,1172889.1887281484,8.916245574103018,2653323.4575978164,1326661.7287989082,530664.6915195633,2387991.111838035,3.8830166750901025,0,0.0,0.0,0.0,100,40,1.6662657299859158,0.6665062919943664,4.067549184083279,1016.1333842813935,328.13423298055653,196.88053978833392,38761.946947345736,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,344.5409446295844,125.08695676777141,835.7524235125193,100,0.0,0.0,0.0,0.0,0.0,0.0,5,625.434783838857,2,1671.5048470250385,29200,65535,3,20,2941.154628428222,588.2309256856445,4411.731942642333,2352.923702742578,893136.8411417112,178627.36822834227,1250391.5775983955,625195.7887991978,BENIGN
80,715407.031866259,26,5,2625.4958691629795,3129.819640094388,168.8116067460296,6.271093856974708,100.98061035242229,45.75392821392127,866.5418291826144,47.86514700575403,625.9639280188776,360.28766234807705,8044.812607228171,43.331975531651274,23846.901062208635,11429.27931902916,66690.38241385818,42.000719266639976,656573.6128638304,25252.831263993477,12626.415631996739,50505.662527986955,3.314269848535309,667754.7469907451,133550.949398149,53420.37975925961,240391.70891666823,34.98199977708654,0,0.0,0.0,0.0,520,100,36.342947220094615,6.989028311556656,5.756283681115613,866.5418291826144,185.65533900830215,111.39320340498129,12408.445764823537,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,194.93810595871727,100.98061035242229,625.9639280188776,520,0.0,0.0,0.0,0.0,0.0,0.0,26,2625.4958691629795,5,3129.819640094388,8192,14600,24,32,58514.94694846985,11702.98938969397,87772.42042270477,46811.95755877588,517787.60733579163,103557.52146715834,724902.6502701082,362451.3251350541,BENIGN
443,2793578.5008449876,1,5,98.90546649119565,1714.0258113687328,182.64503855712815,8.825633590270536,98.90546649119565,24.091319123003174,598.505147369128,3.49343268427567,342.80516227374653,35.06735166046518,648.9637850919752,2.147782852060592,558715.7001689975,235258.45912248845,2176052.2549517914,55.21985984907118,2378191.7938859994,2378191.7938859994,1189095.8969429997,4756383.587771999,23.757647692994492,2493699.061887679,498739.81237753585,199495.92495101434,897731.6622795645,36.358329378397606,0,0.0,0.0,0.0,20,100,0.35796380867676536,1.7898190433838268,12.822595473333305,598.505147369128,302.15521297665475,181.29312778599285,32867.198182428336,0,0.0,0,0,1.0,0.0,0.0,0.0,5.0,317.2629736254875,98.90546649119565,342.80516227374653,20,0.0,0.0,0.0,0.0,0.0,0.0,1,98.90546649119565,5,1714.0258113687328,65535,29200,0,32,168499.23969247876,33699.84793849575,252748.85953871813,134799.391753983,830493.1018740438,166098.6203748088,1162690.3426236613,581345.1713118306,BENIGN
443,1083020.7174543412,9,8,853.7606319040754,3350.576239197657,161.68933776881244,32.77867005977687,94.86229243378615,18.36003849066628,583.5944061933078,42.87775735118039,418.8220298997071,116.24268233366126,3882.046578927962,15.69683730516143,67688.79484089633,49335.81102806642,218387.73812687557,33.218767607557375,1052279.2609180529,116919.91787978365,58459.958939891825,233839.8357595673,9.289043478977955,839809.0901572726,104976.13626965908,41990.45450786364,188957.04528538635,3.3861080175545486,0,0.0,0.0,0.0,180,160,8.31009033802664,7.386746967134791,15.096067128425199,583.5944061933078,247.31393359421952,148.38836015653172,22019.10542994457,0,0.0,0,0,1.0,0.0,0.0,0.0,1.0,259.6796302739305,94.86229243378615,418.8220298997071,180,0.0,0.0,0.0,0.0,0.0,0.0,9,853.7606319040754,8,3350.576239197657,8192,14600,7,20,782.5039897631156,156.50079795262312,1173.7559846446734,626.0031918104925,3108957.3752026213,621791.4750405243,4352540.32528367,2176270.162641835,BENIGN
